timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue
2025-12-02T10:00:48,easyocr_tag_eval,4a02652a-fd7e-4444-8488-ce24584ba219,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2186.348745291936,0.0039431032571495,1.8035106547574315e-06,0.6304,0.0153,6.0,0.0078412889492876,1.2503373671561144e-05,0.002828234313738,0.0106820266366972,0.0,United States,USA,virginia,,,macOS-14.6.1-arm64-arm-64bit,3.12.2,3.0.8,12,Apple M3 Pro,1,Apple M3 Pro,-77.4903,39.0469,18.0,machine,N,1.0,0.0
2025-12-02T10:19:05,easyocr_tag_eval,e6435f74-6999-4df1-b6ce-6e039f565dcf,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,555.2558898749994,0.0005320785478342,9.582582689110303e-07,0.398,0.0653,6.0,0.0006973104004935,7.034174661236093e-06,0.0007370777894447,0.0014414223645995,0.0,United States,USA,virginia,,,macOS-14.6.1-arm64-arm-64bit,3.12.2,3.0.8,12,Apple M3 Pro,1,Apple M3 Pro,-77.4903,39.0469,18.0,machine,N,1.0,0.0
2025-12-02T10:31:16,easyocr_tag_eval,99427223-7d92-44ad-aca2-c1a51f2169c5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,29.054530833032914,6.072815178384253e-05,2.0901439480412804e-06,0.40169999999999995,0.09640000000000001,6.0,0.00012724738665055994,4.860733286134815e-07,3.678156604156053e-05,0.00016451502602073397,0.0,United States,USA,virginia,,,macOS-14.6.1-arm64-arm-64bit,3.12.2,3.0.8,12,Apple M3 Pro,1,Apple M3 Pro,-77.4903,39.0469,18.0,machine,N,1.0,0.0
