timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue
2025-11-25T19:58:10,tag_augmentation,b81578d7-e6b2-4de0-a8b7-60ff3c5a5eba,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.1684009169694036,8.490527059348711e-09,2.679751484060911e-09,0.1046999999999999,0.0038,6.0,3.7976774957496656e-10,1.664677787391055e-09,2.0956736601268252e-08,2.3001182138234275e-08,0.0,United States,USA,virginia,,,macOS-14.6.1-arm64-arm-64bit,3.12.2,3.0.8,12,Apple M3 Pro,1,Apple M3 Pro,-77.4903,39.0469,18.0,machine,N,1.0,0.0
2025-11-25T20:14:15,tag_augmentation,1c675468-1566-4485-bfa7-a99da8130287,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.1286970420042053,8.532718770417446e-09,2.727243531688031e-09,2.6212,0.0119,6.0,5.652690678498604e-09,4.989316996714075e-09,1.2473473519397282e-08,2.3115481194609962e-08,0.0,United States,USA,virginia,,,macOS-14.6.1-arm64-arm-64bit,3.12.2,3.0.8,12,Apple M3 Pro,1,Apple M3 Pro,-77.4903,39.0469,18.0,machine,N,1.0,0.0
2025-11-25T20:24:01,tag_augmentation,cfacceb7-43fc-4aea-a140-15dd1fd33cf9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,39.9579304169165,4.0555908308002346e-05,1.0149651867563364e-06,1.4617999999999998,0.1087,6.0,5.8347494948273456e-05,8.408781834813191e-07,5.067922722490039e-05,0.00010986760035665516,0.0,United States,USA,virginia,,,macOS-14.6.1-arm64-arm-64bit,3.12.2,3.0.8,12,Apple M3 Pro,1,Apple M3 Pro,-77.4903,39.0469,18.0,machine,N,1.0,0.0
