field,csv1_exact,csv2_exact,improvement_exact,csv1_fuzzy_avg,csv2_fuzzy_avg,improvement_fuzzy,csv1_fuzzy_acceptable,csv2_fuzzy_acceptable,improvement_acceptable,csv1_near_match,csv2_near_match,csv1_partial_match,csv2_partial_match
country,24.418604651162788,22.093023255813954,-2.3255813953488342,31.173129196385013,30.282502914801857,-0.890626281583156,34.883720930232556,36.04651162790697,1.1627906976744171,0,1,5,3
material,2.3529411764705883,1.1764705882352942,-1.1764705882352942,37.684429675184376,44.61462863121922,6.930198956034843,52.94117647058824,61.1764705882353,8.235294117647058,7,12,15,16
care,2.3255813953488373,3.488372093023256,1.1627906976744184,41.03465508742085,47.45264460202646,6.417989514605608,51.162790697674424,56.97674418604651,5.813953488372086,11,19,20,18
